Date,Consommation (MW),ds,y
2017-10-26,51639.979166666664,2017-10-26,51639.979166666664
2017-10-27,51189.9375,2017-10-27,51189.9375
2017-10-28,47835.604166666664,2017-10-28,47835.604166666664
2017-10-29,46282.5625,2017-10-29,46282.5625
2017-10-30,54454.416666666664,2017-10-30,54454.416666666664
2017-10-31,57953.020833333336,2017-10-31,57953.020833333336
2017-11-01,52280.375,2017-11-01,52280.375
2017-11-02,56177.520833333336,2017-11-02,56177.520833333336
2017-11-03,55152.458333333336,2017-11-03,55152.458333333336
2017-11-04,49890.479166666664,2017-11-04,49890.479166666664
2017-11-05,49496.916666666664,2017-11-05,49496.916666666664
2017-11-06,61151.041666666664,2017-11-06,61151.041666666664
2017-11-07,65167.854166666664,2017-11-07,65167.854166666664
2017-11-08,65918.14583333333,2017-11-08,65918.14583333333
2017-11-09,65051.208333333336,2017-11-09,65051.208333333336
2017-11-10,63376.645833333336,2017-11-10,63376.645833333336
2017-11-11,54935.6875,2017-11-11,54935.6875
2017-11-12,52540.5625,2017-11-12,52540.5625
2017-11-13,64277.833333333336,2017-11-13,64277.833333333336
2017-11-14,67356.83333333333,2017-11-14,67356.83333333333
2017-11-15,67336.8125,2017-11-15,67336.8125
2017-11-16,67358.0625,2017-11-16,67358.0625
2017-11-17,65893.875,2017-11-17,65893.875
2017-11-18,60898.5625,2017-11-18,60898.5625
2017-11-19,58407.25,2017-11-19,58407.25
2017-11-20,66460.54166666667,2017-11-20,66460.54166666667
2017-11-21,65644.1875,2017-11-21,65644.1875
2017-11-22,63321.604166666664,2017-11-22,63321.604166666664
2017-11-23,60821.020833333336,2017-11-23,60821.020833333336
2017-11-24,60302.895833333336,2017-11-24,60302.895833333336
2017-11-25,57565.354166666664,2017-11-25,57565.354166666664
2017-11-26,60316.3125,2017-11-26,60316.3125
2017-11-27,69142.375,2017-11-27,69142.375
2017-11-28,69925.14583333333,2017-11-28,69925.14583333333
2017-11-29,71752.04166666667,2017-11-29,71752.04166666667
2017-11-30,74626.02083333333,2017-11-30,74626.02083333333
2017-12-01,75914.66666666667,2017-12-01,75914.66666666667
2017-12-02,72526.83333333333,2017-12-02,72526.83333333333
2017-12-03,71002.35416666667,2017-12-03,71002.35416666667
2017-12-04,74420.89583333333,2017-12-04,74420.89583333333
2017-12-05,73764.58333333333,2017-12-05,73764.58333333333
2017-12-06,74280.20833333333,2017-12-06,74280.20833333333
2017-12-07,75154.41666666667,2017-12-07,75154.41666666667
2017-12-08,72672.95833333333,2017-12-08,72672.95833333333
2017-12-09,70170.4375,2017-12-09,70170.4375
2017-12-10,66323.875,2017-12-10,66323.875
2017-12-11,70550.14583333333,2017-12-11,70550.14583333333
2017-12-12,73969.97916666667,2017-12-12,73969.97916666667
2017-12-13,74982.0625,2017-12-13,74982.0625
2017-12-14,72105.79166666667,2017-12-14,72105.79166666667
2017-12-15,71941.66666666667,2017-12-15,71941.66666666667
2017-12-16,68049.47916666667,2017-12-16,68049.47916666667
2017-12-17,67241.0,2017-12-17,67241.0
2017-12-18,72761.47916666667,2017-12-18,72761.47916666667
2017-12-19,75088.41666666667,2017-12-19,75088.41666666667
2017-12-20,74317.14583333333,2017-12-20,74317.14583333333
2017-12-21,70497.4375,2017-12-21,70497.4375
2017-12-22,66523.52083333333,2017-12-22,66523.52083333333
2017-12-23,59685.666666666664,2017-12-23,59685.666666666664
2017-12-24,58254.458333333336,2017-12-24,58254.458333333336
2017-12-25,58095.4375,2017-12-25,58095.4375
2017-12-26,63104.75,2017-12-26,63104.75
2017-12-27,65802.20833333333,2017-12-27,65802.20833333333
2017-12-28,69262.14583333333,2017-12-28,69262.14583333333
2017-12-29,69487.29166666667,2017-12-29,69487.29166666667
2017-12-30,59893.75,2017-12-30,59893.75
2017-12-31,55543.604166666664,2017-12-31,55543.604166666664
2018-01-01,56301.895833333336,2018-01-01,56301.895833333336
2018-01-02,63102.770833333336,2018-01-02,63102.770833333336
2018-01-03,63761.083333333336,2018-01-03,63761.083333333336
2018-01-04,63168.979166666664,2018-01-04,63168.979166666664
2018-01-05,62319.041666666664,2018-01-05,62319.041666666664
2018-01-06,59227.0625,2018-01-06,59227.0625
2018-01-07,58762.1875,2018-01-07,58762.1875
2018-01-08,67165.10416666667,2018-01-08,67165.10416666667
2018-01-09,68683.625,2018-01-09,68683.625
2018-01-10,67405.20833333333,2018-01-10,67405.20833333333
2018-01-11,68516.0625,2018-01-11,68516.0625
2018-01-12,69889.85416666667,2018-01-12,69889.85416666667
2018-01-13,65975.29166666667,2018-01-13,65975.29166666667
2018-01-14,63638.395833333336,2018-01-14,63638.395833333336
2018-01-15,70662.08333333333,2018-01-15,70662.08333333333
2018-01-16,68532.08333333333,2018-01-16,68532.08333333333
2018-01-17,70484.41666666667,2018-01-17,70484.41666666667
2018-01-18,69635.04166666667,2018-01-18,69635.04166666667
2018-01-19,68817.45833333333,2018-01-19,68817.45833333333
2018-01-20,64435.916666666664,2018-01-20,64435.916666666664
2018-01-21,59333.791666666664,2018-01-21,59333.791666666664
2018-01-22,64262.895833333336,2018-01-22,64262.895833333336
2018-01-23,64893.583333333336,2018-01-23,64893.583333333336
2018-01-24,63726.333333333336,2018-01-24,63726.333333333336
2018-01-25,65070.604166666664,2018-01-25,65070.604166666664
2018-01-26,66985.54166666667,2018-01-26,66985.54166666667
2018-01-27,63842.6875,2018-01-27,63842.6875
2018-01-28,60005.666666666664,2018-01-28,60005.666666666664
2018-01-29,65833.41666666667,2018-01-29,65833.41666666667
2018-01-30,66266.60416666667,2018-01-30,66266.60416666667
2018-01-31,67475.66666666667,2018-01-31,67475.66666666667
2018-02-01,70213.72916666667,2018-02-01,70213.72916666667
2018-02-02,72491.22916666667,2018-02-02,72491.22916666667
2018-02-03,67554.91666666667,2018-02-03,67554.91666666667
2018-02-04,66343.70833333333,2018-02-04,66343.70833333333
2018-02-05,77230.875,2018-02-05,77230.875
2018-02-06,78708.9375,2018-02-06,78708.9375
2018-02-07,80049.0625,2018-02-07,80049.0625
2018-02-08,80230.22916666667,2018-02-08,80230.22916666667
2018-02-09,79876.64583333333,2018-02-09,79876.64583333333
2018-02-10,72385.89583333333,2018-02-10,72385.89583333333
2018-02-11,67135.0625,2018-02-11,67135.0625
2018-02-12,74370.04166666667,2018-02-12,74370.04166666667
2018-02-13,79028.1875,2018-02-13,79028.1875
2018-02-14,78045.66666666667,2018-02-14,78045.66666666667
2018-02-15,71888.35416666667,2018-02-15,71888.35416666667
2018-02-16,68817.75,2018-02-16,68817.75
2018-02-17,62918.666666666664,2018-02-17,62918.666666666664
2018-02-18,62392.0625,2018-02-18,62392.0625
2018-02-19,70528.9375,2018-02-19,70528.9375
2018-02-20,70390.16666666667,2018-02-20,70390.16666666667
2018-02-21,73132.04166666667,2018-02-21,73132.04166666667
2018-02-22,76916.04166666667,2018-02-22,76916.04166666667
2018-02-23,77731.58333333333,2018-02-23,77731.58333333333
2018-02-24,72350.1875,2018-02-24,72350.1875
2018-02-25,70274.27083333333,2018-02-25,70274.27083333333
2018-02-26,81881.58333333333,2018-02-26,81881.58333333333
2018-02-27,87012.16666666667,2018-02-27,87012.16666666667
2018-02-28,89599.75,2018-02-28,89599.75
2018-03-01,84582.125,2018-03-01,84582.125
2018-03-02,76882.79166666667,2018-03-02,76882.79166666667
2018-03-03,66938.3125,2018-03-03,66938.3125
2018-03-04,62062.583333333336,2018-03-04,62062.583333333336
2018-03-05,67215.6875,2018-03-05,67215.6875
2018-03-06,66901.47916666667,2018-03-06,66901.47916666667
2018-03-07,67873.1875,2018-03-07,67873.1875
2018-03-08,67788.125,2018-03-08,67788.125
2018-03-09,64220.6875,2018-03-09,64220.6875
2018-03-10,55350.958333333336,2018-03-10,55350.958333333336
2018-03-11,50928.354166666664,2018-03-11,50928.354166666664
